     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
       KMD,  5000,       35,       6561, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryAdapterInfo
       KMD,  5001,        6,       4776, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateDevice
       KMD,  5002,      373,      58837, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateAllocation
       KMD,  5003,      787,      47473, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDescribeAllocation
       KMD,  5004,       10,       2504, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetStandardAllocationDriverData
       KMD,  5005,      302,      17453, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyAllocation
       KMD,  5006,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiAcquireSwizzlingRange
       KMD,  5007,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiReleaseSwizzlingRange
       KMD,  5008,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPatch
       KMD,  5009,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCommitVidPn
       KMD,  5010,      448,     222150, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVidPnSourceAddress
       KMD,  5011,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVidPnSourceVisibility
       KMD,  5012,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiUpdateActiveVidPnPresentPath
       KMD,  5013,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSubmitCommand
       KMD,  5014,      236,      62813, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPreemptCommand
       KMD,  5015,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryCurrentFence
       KMD,  5016,     1898,     156212, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiBuildPagingBuffer
       KMD,  5017,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPalette
       KMD,  5018,       80,      40674, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPointerShape
       KMD,  5019,      369,      78273, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPointerPosition
       KMD,  5020,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiResetFromTimeout
       KMD,  5021,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRestartFromTimeout
       KMD,  5022,       29,       2368, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiEscape
       KMD,  5023,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCollectDbgInfo
       KMD,  5024,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRecommendFunctionalVidPn
       KMD,  5025,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiIsSupportedVidPn
       KMD,  5026,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiEnumVidPnCofuncModality
       KMD,  5027,        4,       1400, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyDevice
       KMD,  5028,      388,      34957, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiOpenAllocation
       KMD,  5029,      318,      17994, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCloseAllocation
       KMD,  5030,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRender
       KMD,  5031,      637,     136963, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPresent
       KMD,  5032,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateOverlay
