dwm.exe

Context

Frames per second

Time	FPS	
6038368	0
6205279	1
6371762	1
6538505	2
6704885	2
6871670	3
7038008	3
7205071	3
7371403	4
7537814	4
7704556	4
7871154	4
8204349	4
8370971	4
8537762	4
8704396	4
8871066	4
9037556	4
9205119	5
9371222	6
9537331	7
9704931	8
9871293	9
10037396	9
10204410	9
10370657	10
10537231	10
10704046	10
10870590	11
11037688	11
11203682	11
11370244	11
11537282	11
11703699	11
11870110	12
12037094	12
12203474	12
12369891	12
12537400	12
12703201	12
12869762	12
13036414	12
13203489	13
13369996	14
13536516	14
13703168	15
13869494	15
14036351	15
14202931	15
14369504	15
14536241	15
14702730	15
14869376	15
15036282	16
15202704	17
15369278	17
15536117	18
15702630	19
15869331	19
16037697	19
16202430	19
16369384	18
16535776	19
16702307	18
16869364	18
17035750	17
17202239	17
17369350	17
17535556	17
17702075	17
17869349	17
18035397	18
18201910	18
18368593	18
18535281	18
18701873	19
18868380	19
19035074	19
19201624	19
19368167	18
19534885	17
19701495	16
19868123	15
20035053	14
20201452	14
20368073	14
20535051	14
20701233	14
20867679	14
21034579	13
21201273	14
21367944	14
21534415	14
21701151	15
21867676	15
22034238	14
22200860	14
22367421	14
22533929	14
22700611	14
22867987	14
23033800	14
23200633	14
23367442	14
23533986	14
23700602	15
23867151	15
24033713	16
24200389	17
24367144	18
24533711	19
24700387	20
24866979	21
25033559	22
25200247	22
25366875	22
25533575	23
25700125	23
25866765	23
26035663	23
26200039	24
26366649	25
26533077	26
26700110	26
26866327	26
27033082	27
27200501	28
27366380	29
27532803	29
27700155	29
27866125	29
28032723	30
28199749	30
28366051	31
28532449	32
28699222	32
28865874	31
29032478	31
29199203	32
29365722	33
29532277	33
29698911	33
29865563	33
30032312	34
30198801	34
30365423	34
30532129	35
30698667	34
30865289	34
31031850	34
31198581	34
31365335	34
31532223	35
31698507	36
31865177	36
32031926	37
32198234	37
32364934	38
32532250	39
32698383	40
32864812	40
33031886	41
33197935	41
33364659	41
33531933	40
33697945	40
33864718	40
34031340	39
34197684	38
34364191	37
34530831	36
34697411	35
34863930	34
35030830	33
35197687	33
35364218	32
35530538	31
35697360	30
35863837	29
36033622	29
36197111	29
36363877	28
36530246	27
36697133	26
36863725	25
37030117	25
37196721	24
37363597	23
37530339	23
37696852	23
37863740	23
38030157	23
38196561	22
38363256	21
38530065	20
38696457	19
38863242	19
39029785	19
39196649	19
39363210	19
39530158	19
39697046	19
39863003	20
40029493	20
40196501	19
40362585	19
40529461	19
40696077	18
40862656	18
41029689	18
41195797	18
41362546	18
41529760	18
41695730	17
41862551	17
42028901	16
42195686	16
42362247	16
42528875	15
42695455	14
42862071	13
43028523	13
43195399	13
43361834	13
43528613	13
43695373	13
43862031	13
44029227	12
44195088	12
44361571	13
44528459	14
44695207	14
44861696	15
45028536	16
45194656	16
45361339	15
45527834	15
45694836	16
45861416	16
46027935	16
46196410	15
46361704	15
46528066	16
46695117	16
46861032	16
47027666	16
47194185	17
47360982	18
47527647	18
47694353	18
47860721	19
48027198	18
48193748	18
48360551	18
48527010	18
48694175	19
48860567	19
49027183	19
49193998	20
49360765	21
49527115	21
49693936	21
49860631	22
50027090	22
50193814	23
50360460	24
50527004	25
50693776	26
50860102	27
51026809	28
51193618	29
51360077	30
51527471	31
51693363	31
51859707	32
52026287	31
52193072	31
52360056	30
52526225	31
52692672	31
52859541	31
53026000	31
53192489	31
53359334	30
53526252	31
53692819	32
53859278	33
54026136	33
54192389	33
54359367	34
54526038	34
54692563	34
54859161	35
55025861	35
55192290	35
55358887	36
55525389	36
55692312	37
55859973	37
56025550	38
56191900	38
56358625	38
56525271	39
56691887	38
56858406	38
57025336	39
57191734	40
57358121	39
57524924	38
57691823	39
57858330	39
58024838	39
58191248	39
58358142	40
58524764	41
58691331	41
58858026	41
59024557	41
59191173	41
59358036	41
59524465	40
59691207	40
59857787	40
60024355	39
60190789	39
60357653	38
60524546	37
60691192	37
60857512	36
61024050	35
61190756	35
61357414	34
61523934	33
61690561	32
61857141	32
62023847	31
62190657	31
62357188	32
62523665	32
62690788	31
62857023	31
63023633	32
63190907	32
63356925	33
63523378	33
63690121	33
63856682	32
64023371	31
64190023	31
64356620	31
64523719	31
64689798	30
64856498	30
65023512	29
65189627	28
65356448	28
65523384	27
65689650	28
65856103	27
66023189	26
66191719	26
66356041	26
66522844	27
66689266	26
66855955	26
67022607	27
67189090	26
67355881	26
67522370	26
67689131	27
67855734	26
68022199	25
68188990	25
68355455	25
68521986	24
68688820	24
68855411	24
69022075	24
69188619	24
69355211	24
69521959	24
69688436	24
69855245	24
70021728	23
70188610	24
70354924	23
70521558	24
70688180	24
70854753	23
71022275	24
71188196	24
71354776	24
71521150	24
71688104	25
71854551	25
72021318	25
72187861	25
72354507	26
72521014	25
72687654	25
72854379	26
73020977	26
73187617	26
73354082	26
73521005	26
73687265	26
73854279	26
74020636	26
74187318	26
74353946	26
74520362	26
74687449	26
74853624	26
75020614	26
75186947	27
75353641	27
75520963	26
75687017	27
75853470	26
76020575	26
76189057	27
76353469	27
76520006	28
76686743	28
76853280	28
77019866	28
77186548	28
77353091	28
77519840	27
77686547	28
77853072	27
78019404	27
78186539	28
78352883	27
78519843	28
78686079	28
78852719	27
79019540	28
79186578	28
79352904	29
79519417	30
79685931	29
79853428	30
80019011	29
80185947	30
80352521	30
80522506	30
80685819	31
80852163	31
81018876	32
81185745	31
81352113	31
81518536	30
81685544	31
81852281	31
82018661	31
82185265	31
82351881	31
82518388	30
82685028	30
82852550	31
83018326	30
83185069	31
83351612	30
83518319	31
83684790	30
83851436	30
84018064	30
84184547	30
84351392	31
84517953	30
84684744	31
84851143	30
85017765	30
85184592	30
85350918	29
85517636	29
85684282	29
85850850	28
86017273	29
86186128	29
86350583	28
86517350	28
86683790	27
86850430	26
87017215	26
87184073	27
87350435	26
87516864	26
87684621	26
87850367	25
88017218	26
88184130	26
88350239	25
88517066	26
88683483	25
88850304	25
89016720	25
89183505	25
89350429	25
89516658	25
89683304	25
89849896	25
90016578	25
90183236	25
90349454	24
90516305	24
90682722	23
90850183	22
91016255	23
91182889	23
91349233	23
91516103	24
91682707	24
91849226	23
92015679	22
92182361	23
92349098	22
92516015	23
92682885	23
92849332	24
93015495	23
93182255	24
93348992	24
93515493	24
93682363	24
93848713	25
94015202	26
94181842	25
94348633	25
94516046	25
94682474	26
94849126	26
95015289	26
95182430	27
95348654	27
95514932	27
95681729	28
95848181	29
96014604	29
96185078	29
96348639	30
96515025	31
96681212	30
96848003	31
97014571	31
97181410	32
97348014	32
97514268	32
97681270	33
97847910	33
98014864	34
98181443	34
98348361	35
98514681	36
98680862	35
98847689	36
99013919	36
99180994	37
99347380	36
99514098	36
99680425	35
99846998	34
100014073	35
100180665	35
100347238	35
100513963	35
100682661	35
100847158	36
101015181	37
101180160	37
101346812	36
101513259	37
101680255	37
101847040	38
102013258	39
102179874	39
102346785	38
102513486	39
102680446	38
102847013	39
103013315	39
103179852	39
103346299	39
103512982	39
103679398	39
103845978	39
104012521	39
104179475	38
104345874	39
104513142	40
104679323	40
104846132	39
105012506	38
105179623	39
105346414	39
105512710	38
105679682	39
105845857	39
106012461	38
106179662	39
106345644	38
106512194	37
106678701	36
106845528	37
107012560	37
107178856	37
107345478	37
107512468	37
107679809	37
107845610	36
108011942	36
108178503	36
108344817	35
108511807	35
108678622	35
108845443	36
109011558	35
109178192	35
109345098	35
109512076	36
109679416	35
109844945	35
110011622	36
110178455	36
110344793	35
110511282	35
110678363	36
110844290	35
111011027	34
111177516	33
111344174	33
111510778	33
111677605	33
111844179	33
112010517	33
112177398	33
112343924	33
112510618	34
112676992	34
112843729	34
113010478	34
113177057	34
113343721	35
113510180	34
113677104	34
113843732	35
114010010	34
114176801	34
114343320	35
114509984	34
114676811	34
114843258	33
115009795	33
115176550	34
115344343	34
115509963	33
115676440	34
115842953	34
116010354	34
116176487	34
116343247	34
116509326	35
116676195	36
116842853	37
117009192	36
117176218	36
117342592	36
117509444	36
117676096	36
117842343	36
118009134	36
118175605	37
118342281	37
118508795	37
118676056	37
118842346	36
119009101	36
119175379	36
119342653	36
